id,name,vintage,country,winery,grapes,rating,price,acidity,intensity,sweetness,tannin,flavor_rank1,flavor_rank2,flavor_rank3
1574591,Château du Moulin Rouge Haut-Médoc 2020,2020,France,Château du Moulin Rouge,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12,4.0746503,4.1889153,1.6018116,4.1241236,black_fruit,oak,earth
8657858,Patrick Lesec Rasteau 2020,2020,France,Patrick Lesec,Syrah;Grenache;Mourvèdre,3.7,10.98,3.4672627,4.026648,1.2020112,3.6515083,red_fruit,black_fruit,spices
10907044,Château Mourgues du Grès Les Voyageurs 2023,2023,France,Château Mourgues du Grès,Syrah;Grenache;Mourvèdre,3.7,11.45,3.2371027,3.082243,2.4166358,2.9547663,,,
1099643,Château Martinon Bordeaux Supérieur 2019,2019,France,Château Martinon,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,10.9,3.9235146,3.6140866,1.4322733,3.688159,red_fruit,oak,earth
7682171,Domaine Albin Jacumin Le Fameux 2023,2023,France,Domaine Albin Jacumin,,3.7,12,3.3846154,2.9030766,1.053077,3.316923,red_fruit,,
80156,Château Thieuley Réserve Francis Courselle Bordeaux 2016,2016,France,Château Thieuley,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,10.8,3.8171558,3.9238338,1.5362799,3.5663822,oak,earth,black_fruit
7599194,Domaine Philémon Braucol 2021,2021,France,Domaine Philémon,,3.7,10.8,4.5,4.5,1.5,4,,,
2491669,Château Rosan Evidence Rouge 2022,2022,France,Château Rosan,Syrah;Cabernet Sauvignon;Grenache;Mourvèdre;Carignan;Tibouren;Cinsaut,3.7,11.5,3,4,1.5,4,,,
4269623,Lombard La Re Nommée 2017,2017,France,Lombard,,3.7,11,3.1413724,2.998039,2.1808822,3.1286273,black_fruit,earth,red_fruit
1916670,Cave du Luberon La Cuvée 2023,2023,France,Cave du Luberon,Syrah;Grenache;Mourvèdre,3.7,11,3.5,4,1,3.5,black_fruit,spices,floral
5758265,Martine et Pierre Marie Chermette - Domaine du Vissoux Vieilles Vignes Origine Beaujolais 2024,2024,France,Martine et Pierre Marie Chermette - Domaine du Vissoux,Gamay,3.7,10.95,4.482571,1.5451345,1.5970349,1.7900321,red_fruit,earth,black_fruit
1144513,Château des Tourelles - Mas des Tourelles Grande Cuvée Costières-de-Nîmes 2014,2014,France,Château des Tourelles - Mas des Tourelles,Syrah;Grenache;Mourvèdre,3.7,12,3.459726,4.006712,1.4363014,3.4331508,floral,earth,oak
1144513,Château des Tourelles - Mas des Tourelles Grande Cuvée Costières-de-Nîmes 2023,2023,France,Château des Tourelles - Mas des Tourelles,Syrah;Grenache;Mourvèdre,3.7,12,3.459726,4.006712,1.4363014,3.4331508,floral,earth,oak
1201298,Château Lajarre Eléonore Bordeaux Supérieur 2022,2022,France,Château Lajarre,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,10.95,3.6834154,3.7147198,1.3181276,3.5207434,black_fruit,oak,red_fruit
1199239,Château de l'Engarran La Lionne 2020,2020,France,Château de l'Engarran,Syrah;Grenache;Mourvèdre,3.7,10.9,3.8798416,3.6238978,1.55799,3.3776243,spices,earth,red_fruit
1234067,Château du Caillau Malbec Cahors 2022,2022,France,Château du Caillau,Malbec,3.7,11.9,3.1608202,3.9433973,1.540575,3.3218315,black_fruit,oak,earth
3869366,Château du Garde Côtes de Bordeaux 2019,2019,France,Château du Garde,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.99,3.5066664,4.028571,1.0914286,3.8746033,earth,black_fruit,tree_fruit
1206687,Château Godard Bellevue Francs Côtes De Bordeaux 2015,2015,France,Château Godard Bellevue,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,11.75,3.9307222,4.061838,1.3389934,3.9663458,earth,oak,black_fruit
5713586,Domaine le Renard Côtes du Rhône Rouge 2021,2021,France,Domaine le Renard,Syrah;Grenache;Mourvèdre,3.7,11,3.3909092,3.8636363,1,3.909091,,,
2881421,Clos Cavenac La Syrah de Cavenac 2019,2019,France,Clos Cavenac,,3.7,12.2,4.5,4.5,2.375,3.25,black_fruit,spices,oak
2112249,Château Croix Mouton Bordeaux Supérieur 2022,2022,France,Château Croix Mouton,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12,3.7227476,3.8959725,1.6554211,3.5683093,oak,black_fruit,earth
2913142,Les Vignerons d'Igé La Grande Bruyère Saint-Véran 2023,2023,France,Les Vignerons d'Igé,Pinot Noir,3.7,12.2,3.7435896,2.628205,1.5128205,2.2564104,,,
6381359,Château Salettes Verdarail Rouge 2023,2023,France,Château Salettes,,3.7,12,2.6511629,3,1.5,2.6976745,red_fruit,earth,oak
6381359,Château Salettes Verdarail Rouge 2022,2022,France,Château Salettes,,3.7,11.7,2.6511629,3,1.5,2.6976745,red_fruit,earth,oak
1587102,Château la Chandellière Médoc 2019,2019,France,Château la Chandellière,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,12,4.1429186,4.239147,1.4869164,4.158564,black_fruit,earth,oak
10631000,Lambrusques Esprit Sauvage Pic-Saint-Loup 2022,2022,France,Lambrusques,Syrah;Grenache;Mourvèdre,3.7,10.8,3.0877006,3.493984,2.5482886,3.193262,,,
5418311,Château de la Selve Petite Selve 2023,2023,France,Château de la Selve,,3.7,11.5,3.4747963,2.567537,1.3290555,3.2325,red_fruit,earth,black_fruit
36174,Roger Sabon Côtes Du Rhône 2023,2023,France,Roger Sabon,Syrah;Grenache;Mourvèdre,3.7,10.9,3.405871,3.8341854,1.5970124,3.1519306,black_fruit,red_fruit,oak
1242053,Château de Mercuès Le Vassal de Mercuès 2019,2019,France,Château de Mercuès,Malbec,3.7,11.95,2.965053,3.92133,1.5995744,3.1297874,black_fruit,oak,earth
1668287,Couly-Dutheil Les Gravières Chinon 2023,2023,France,Couly-Dutheil,Cabernet franc,3.7,11.5,3.983118,3.396585,1.7897483,3.9224489,red_fruit,earth,black_fruit
1165107,Mas Champart Côte d'Arbo Saint-Chinian 2019,2019,France,Mas Champart,Syrah;Grenache;Mourvèdre,3.7,11.4,3.8166976,3.9519858,1.6560935,3.4900734,earth,oak,spices
2335164,Richard Rottiers La Sambinerie Beaujolais Villages 2022,2022,France,Richard Rottiers,Gamay,3.7,12,4.5209875,1.7114172,1.261688,2.071258,red_fruit,earth,black_fruit
1910099,Vergniol Château Les Vieilles Pierres Lussac-Saint-Émilion 2020,2020,France,Vergniol,Cabernet Sauvignon;Cabernet franc;Malbec;Merlot;Petit Verdot;Carménère,3.7,10.69,3.3331292,4.266956,1.2938265,3.670119,black_fruit,earth,red_fruit
7317732,M. Chapoutier La Combe Pilate Syrah 2017,2017,France,M. Chapoutier,,3.7,11.49,3.2228,2.8479998,2.0052001,3.816,earth,tree_fruit,citrus_fruit
3173026,Gérard Bertrand Syrah Prima Nature 2021,2021,France,Gérard Bertrand,Syrah;Grenache;Mourvèdre,3.7,12.2,3.7290769,3.6316152,1.5246154,3.5709612,red_fruit,oak,black_fruit
2482367,Domaine Blanc Christophe Syrah 2016,2016,France,Domaine Blanc Christophe,,3.7,10.9,3.5,3,1,4,black_fruit,red_fruit,oak
